loss,acc,val_loss,val_acc
0.2704440951347351,0.8797929286956787,0.7741718292236328,0.625
0.1730002909898758,0.9292561411857605,0.3583426773548126,0.75
0.11295603960752487,0.9576303958892822,0.16830670833587646,0.9375
0.09950651973485947,0.9633818864822388,0.051217202097177505,1.0
0.08745872974395752,0.9695168733596802,0.4286099076271057,0.8125
0.07626545429229736,0.970475435256958,0.2614595592021942,0.8125
0.07220729440450668,0.9743098020553589,0.12807504832744598,1.0
0.06897324323654175,0.9752684235572815,0.06994286179542542,1.0
0.06636457145214081,0.9760352969169617,0.0369516983628273,1.0
0.06335656344890594,0.9787193536758423,0.30966606736183167,0.75
0.0599137507379055,0.9773772954940796,0.023243851959705353,1.0
0.05845154821872711,0.9781441688537598,0.26950201392173767,0.8125
0.04446309804916382,0.9829370975494385,0.007866582833230495,1.0
0.04254123941063881,0.9844708442687988,0.02766711637377739,1.0
0.045779306441545486,0.9840874075889587,0.01677374169230461,1.0
0.042793963104486465,0.9856211543083191,0.10902627557516098,0.9375
0.038708366453647614,0.9837039709091187,0.46735653281211853,0.8125
0.043527454137802124,0.983512282371521,0.022626042366027832,1.0
0.04205990210175514,0.9838957190513611,0.1080729067325592,0.9375
0.038139473646879196,0.9850460290908813,0.050199590623378754,1.0
